Post_ID,Posting_Author,Congress_Number,State_District,DW-NOMINATE,LES,Job_Function,Title_Parsed,Office_Type,Committee_Affiliation,Spanish_Language,Salary_Min,Salary_Max,Years_Experience
MEM-022-25,Congresswoman Madeleine Dean,118,ST-04,-0.444,0.550,Legislative,Caseworker (Social Security and Medicare),Personal,,0,,,
MEM-021-25,House Committee on Veterans’ Affairs,118,ST-25,,,Communications,Communications Director,Personal,House Committee on Veterans’ Affairs,0,,90000.000,3
MEM-019-25,The Energy and Commerce Committee Democratic Sta.,118,ST-25,,,Communications,Press Assistant,Personal,Energy and Commerce Committee,0,65000.000,65000.000,
MEM-016-25,Congresswoman Pramila Jayapal (WA-07),118,ST-07,-0.627,0.242,Legislative,Senior Legislative Assistant,Personal,,0,,,4
MEM-013-25,Congresswoman Sarah McBride (DE-AL),118,ST-01,,,Legislative,Legislative Assistant,Personal,"Science, Space, and Technology Committee",0,,,2
MEM-012-25,Congresswoman Shontel M. Brown (OH-11),118,ST-11,,,Legislative,Operations Assistant/Legislative Correspondent,Personal,,0,,,
MEM-008-25,Congressman Mike Flood,118,ST-01,0.461,0.817,Legislative,District Special Assistant,Personal,,0,,,
MEM-530-24,"Majority Sta. Director, Subcommittee on Disability Assistance and Memorial A.airs",118,ST-24,,,Legislative,Research Assistant,Personal,House Committee on Veterans’ A.airs,0,,,
MEM-517-24,Congresswoman Susie Lee,118,ST-24,-0.232,1.159,Legislative,DC Scheduler,Personal,,0,,,
MEM-476-24,Congressman Dan Crenshaw (R-TX-02),118,ST-02,,,Legislative,Legislative Assistant,Personal,,0,,,
MEM-076-25,Congressman Mike Flood,118,ST-01,0.461,0.817,Legislative,Special Assistant,Personal,,0,,,
MEM-074-25,Congressman Jonathan L. Jackson,118,ST-25,,,Legislative,Press/Digital Assistant,Personal,,0,,,
MEM-072-25,Congressman Rob Wittman,118,VA-01,,,Communications,Press Assistant,Personal,,0,,,
MEM-071-25,Congresswoman Kristen McDonald Rivet (MI-08),118,ST-08,,,Legislative,Press/Digital Assistant,Personal,,0,55000.000,55000.000,
MEM-067-25,Congressman Jonathan L. Jackson,118,ST-01,,,Legislative,District Director,Personal,,0,,,
MEM-064-25,"House Committee on Energy and Commerce, Subcommittee on Oversight and Investigations (Democratic StaO)",118,ST-25,,,Legislative,Oversight and Investigations Law Clerk,Personal,"House Committee on Energy and Commerce, Subcommittee on Oversight and Investigations",0,,,
MEM-063-25,"Congresswoman Maxine Dexter, M.D.",118,ST-03,,,Legislative,Digital/Press Assistant,Personal,,0,60000.000,70000.000,
MEM-062-25,Congresswoman Kim Schrier,118,ST-08,-0.283,0.392,Legislative,Staff/Press Assistant,Personal,,0,,,
MEM-060-25,U.S. Rep. Rick Larsen,118,ST-02,,,Legislative,District Scheduler & StaT Assistant,Personal,,1,50000.000,60000.000,
MEM-054-25,Congresswoman Melanie Stansbury,118,ST-01,-0.456,0.273,Communications,Communications Advisor,Personal,DOGE Subcommittee of the House Oversight Committee,0,,,
MEM-053-25,House Committee on Financial Services,118,ST-25,,,Legislative,Counsel to the Subcommittee on Capital Markets of the House Committee on Financial Services,Personal,House Committee on Financial Services,0,,,5
MEM-051-25,Greg Landsman,118,ST-01,-0.217,0.373,Communications,District Staff Assistant - Communications and Office Logistics,Personal,,0,45000.000,55000.000,
MEM-047-25,Congressman Brad Sherman,118,ST-32,-0.343,0.822,Legislative,Caseworker,Personal,,0,45000.000,,
MEM-046-25,House Committee on Homeland Security Republican StaO,118,ST-25,,,Legislative,Counsel (JD required) or Professional StaT Member,Committee,House Committee on Homeland Security Republican StaO,0,,,2
MEM-043-25,The Office of General Counsel,118,ST-25,,,Legislative,Associate General Counsel/Assistant General Counsel,Personal,,0,176000.000,204500.000,3
MEM-042-25,Congressman Gabe Vasquez,118,ST-02,-0.308,0.399,Legislative,Scheduler,Personal,,1,,,
MEM-040-25,Congressman Rob Wittman,118,ST-01,,,Legislative,Legislative Director,Personal,Natural Resources Committee,0,,,5
MEM-038-25,Congresswoman Jahana Hayes,118,ST-05,-0.310,0.283,Communications,Communications Director,Personal,,0,,,3
MEM-036-25,ConservativeRep,118,ST-25,,,Legislative,Legislative Director,Personal,,0,,,
MEM-035-25,House Committee on Veterans’ AOairs (Majority),118,ST-25,,,Legislative,Professional StaO Member,Personal,House Committee on Veterans' AOairs,0,,,
MEM-034-25,House Committee on Veterans’ Affairs (Majority),118,ST-25,,,Legislative,Contracts Investigator,Personal,House Committee on Veterans’ Affairs (Majority),0,,,
MEM-033-25,Congresswoman Alma S. Adams (NC12),118,ST-12,,,Legislative,Scheduler,Personal,,0,,,
MEM-032-25,Congresswoman Janelle Bynum (OR-5),118,ST-05,,,Legislative,Legislative Assistant,Personal,,0,,,
MEM-026-25,Congressman Greg Steube,118,ST-25,0.690,2.706,Communications,Communications Director,Personal,,0,,,
MEM-022-25,Congresswoman Madeleine Dean,118,ST-04,-0.444,0.550,Legislative,Caseworker (Social Security and Medicare),Personal,,0,,,
MEM-021-25,House Committee on Veterans’ Affairs,118,ST-25,,,Communications,Communications Director,Personal,House Committee on Veterans’ Affairs,0,,90000.000,3
MEM-019-25,The Energy and Commerce Committee Democratic StaO,118,ST-25,,,Communications,Press Assistant,Personal,Energy and Commerce Committee,0,65000.000,65000.000,
MEM-016-25,Congresswoman Pramila Jayapal (WA-07),118,ST-07,-0.627,0.242,Legislative,Senior Legislative Assistant,Personal,,0,,,4
MEM-013-25,Congresswoman Sarah McBride (DE-AL),118,ST-01,,,Legislative,Legislative Assistant,Personal,"Science, Space, and Technology Committee",1,,,2
MEM-012-25,Congresswoman Shontel M. Brown (OH-11),118,ST-11,,,Legislative,Operations Assistant/Legislative Correspondent,Personal,,0,,,
MEM-530-24,House Committee on Veterans’ AOairs,118,ST-24,,,Legislative,Research Assistant,Personal,Subcommittee on Disability Assistance and Memorial AOairs,0,,,
MEM-517-24,Congresswoman Susie Lee,118,ST-24,-0.232,1.159,Legislative,DC Scheduler,Personal,,0,,,
MEM-476-24,Congressman Dan Crenshaw (R-TX-02),118,ST-02,,,Legislative,Legislative Assistant,Personal,,0,,,
MEM-116-25,Congresswoman Rashida Tlaib,118,ST-12,-0.290,0.182,Legislative,Legislative Director,Personal,,1,100000.000,,
MEM-115-25,U.S. HOUSE OF REPRESENTATIVES COMMITTEE ON ETHICS,118,ST-25,,,Legislative,Director of Administration,Committee,U.S. HOUSE OF REPRESENTATIVES COMMITTEE ON ETHICS,0,132638.000,140667.000,5
MEM-114-25,Congresswoman Lois Frankel,118,ST-22,-0.397,0.193,Legislative,Digital Manager,Personal,,0,60000.000,75000.000,1
MEM-113-25,U.S. House Committee on Foreign Affairs Majority,118,ST-25,,,Legislative,Export Controls Professional,Committee,House Committee on Foreign Affairs Majority,1,,,
MEM-112-25,Congressman Ro Khanna,118,ST-25,-0.463,1.107,Legislative,Scheduler & Operations Coordinator,Personal,,0,71000.000,71000.000,
MEM-111-25,Rep. Dina Titus,118,ST-25,-0.298,1.632,Legislative,District Office StaT Assistant,Personal,,1,,,
MEM-110-25,Congresswoman Pramila Jayapal (WA-07),118,ST-07,-0.627,0.242,Legislative,Senior Legislative Assistant,Personal,,0,70000.000,85000.000,4
MEM-108-25,"Republican member in Charleston, SC",118,ST-25,,,Digital Assistant,Digital Assistant,Personal,,0,,,
MEM-107-25,Rep. Nanette Barragán (CA-44),118,ST-44,,,Legislative,Scheduler|Executive Assistant,Personal,,1,55000.000,80000.000,
MEM-106-25,Congressman Ted W. Lieu,118,ST-36,,,Legislative,Field Representative and Constituent Services Representative,Personal,,1,,,
MEM-105-25,O>ice of Congressional Conduct,118,ST-25,,,Legislative,Investigative Support Analyst,Personal,,0,,,2
MEM-104-25,House Committee on Veterans’ Affairs (Majority),118,ST-25,,,Legislative,Healthcare Investigator,Personal,House Committee on Veterans’ Affairs (Majority),0,,,
MEM-103-25,Congressman Vern Buchanan (FL-16),118,ST-16,0.362,0.563,Legislative,Health Policy Advisor/ Counsel,Personal,,0,,,
MEM-100-25,Rep. Tony Gonzales,118,ST-23,0.340,1.652,Legislative,Military Legislative Assistant,Personal,,0,,,1
MEM-095-25,Congressman Gabe Amo,118,RI-01,-0.530,0.019,Communications,Communications Director,Personal,,0,,,
MEM-088-25,Senior Auditor Information Systems,118,ST-25,,,Legislative,Senior Auditor Information Systems,Personal,,0,,,5
MEM-082-25,Greg Steube,118,ST-17,0.690,2.706,Legislative,Field Representative,Personal,,0,55000.000,75000.000,2
MEM-523-24,Brendan F. Boyle (PA-02),118,ST-02,,,Legislative,Digital Assistant,Personal,House Budget Committee,0,,,1
MEM-517-24,Congresswoman Susie Lee,118,ST-24,-0.232,1.159,Legislative,DC Scheduler,Personal,,0,,,
MEM-086-25,Rep. Latta,118,ST-25,,,Legislative,sta$ assistant,Personal,,0,,,
MEM-082-25,Greg Steube,118,ST-17,0.690,2.706,Legislative,Field Representative,Personal,,0,55000.000,75000.000,2
MEM-081-25,House GOP Appropriator,118,ST-25,,,Legislative,Legislative Assistant,Personal,,0,,,1
MEM-080-25,Texas House Member,118,ST-25,,,Legislative,Member Seeks Legislative Correspondent,Personal,,0,,,
MEM-076-25,Congressman Mike Flood,118,ST-01,0.461,0.817,Legislative,Special Assistant,Personal,,0,,,
MEM-074-25,Congressman Jonathan L. Jackson,118,ST-25,,,Legislative,Press/Digital Assistant,Personal,,0,,,
MEM-072-25,Congressman Rob Wittman,118,ST-01,,,Communications,Press Assistant,Personal,,0,,,
MEM-071-25,Congresswoman Kristen McDonald Rivet (MI-08),118,ST-08,,,Legislative,Press/Digital Assistant,Personal,,0,55000.000,55000.000,
MEM-067-25,Congressman Jonathan L. Jackson,118,ST-01,,,Legislative,District Director,Personal,,0,,,
MEM-064-25,"House Committee on Energy and Commerce, Subcommittee on Oversight and Investigations (Democratic Sta&)",118,ST-25,,,Legislative,Oversight and Investigations Law Clerk,Personal,"House Committee on Energy and Commerce, Subcommittee on Oversight and Investigations",1,,,
MEM-063-25,"Congresswoman Maxine Dexter, M.D.",118,ST-03,,,Legislative,Digital/Press Assistant,Personal,,0,60000.000,70000.000,
MEM-054-25,Congresswoman Melanie Stansbury,118,ST-01,-0.456,0.273,Communications,Communications Advisor,Personal,DOGE Subcommittee of the House Oversight Committee,0,,,
MEM-053-25,House Committee on Financial Services,118,ST-25,,,Legislative,Counsel to the Subcommittee on Capital Markets of the House Committee on Financial Services,Personal,House Committee on Financial Services,0,,,5
MEM-051-25,Greg Landsman (OH-01),118,ST-01,-0.217,0.373,Communications,District Staff Assistant - Communications and Office Logistics,Personal,,0,45000.000,55000.000,
MEM-047-25,Congressman Brad Sherman (CA-32),118,ST-32,-0.343,0.822,Legislative,Caseworker,Personal,,0,45000.000,,
MEM-046-25,House Committee on Homeland Security Republican Sta&,118,ST-25,,,Legislative,Counsel (JD required) or Professional Sta$ Member,Committee,House Committee on Homeland Security Republican Sta&,1,,,2
MEM-042-25,Congressman Gabe Vasquez,118,ST-02,-0.308,0.399,Legislative,Scheduler,Personal,,1,,,
MEM-040-25,Congressman Rob Wittman,118,ST-01,,,Legislative,Legislative Director,Personal,Natural Resources Committee,0,,,5
MEM-034-25,House Committee on Veterans’ A&airs Majority,118,ST-25,,,Legislative,Contracts Investigator,Personal,House Committee on Veterans’ A&airs Majority,0,,,
MEM-530-24,House Committee on Veterans’ Affairs,118,ST-24,,,Legislative,Research Assistant,Personal,Subcommittee on Disability Assistance and Memorial Affairs,0,,,
MEM-517-24,Congresswoman Susie Lee,118,ST-24,-0.232,1.159,Legislative,DC Scheduler,Personal,,0,,,
MEM-476-24,Congressman Dan Crenshaw (R-TX-02),118,ST-02,,,Legislative,Legislative Assistant,Personal,,0,,,
MEM-088-25,Senior Auditor Information Systems,118,ST-25,,,Legislative,Senior Auditor Information Systems,Personal,,0,,,5
MEM-087-25,Congresswoman Dina Titus,118,ST-01,-0.298,1.632,Legislative,Digital Manager/Press Assistant,Personal,,0,65000.000,75000.000,2
MEM-086-25,Rep. Latta,118,ST-25,,,Legislative,Sta_ Assistant,Personal,,0,,,
MEM-082-25,Congressman Greg Steube,118,ST-17,0.690,2.706,Legislative,Field Representative,Personal,,0,55000.000,75000.000,2
MEM-081-25,House GOP Appropriator,118,ST-25,,,Legislative,Legislative Assistant,Personal,,0,,,1
MEM-080-25,Texas House Member,118,ST-25,,,Legislative,Member Seeks Legislative Correspondent,Personal,,0,,,
MEM-076-25,Congressman Mike Flood,118,ST-01,0.461,0.817,Legislative,Special Assistant,Personal,,0,,,
MEM-074-25,Congressman Jonathan L. Jackson,118,ST-25,,,Legislative,Press/Digital Assistant,Personal,,0,,,
MEM-072-25,Congressman Rob Wittman,118,VA-01,,,Communications,Press Assistant,Personal,,0,,,
MEM-071-25,Congresswoman Kristen McDonald Rivet (MI-08),118,ST-08,,,Legislative,Press/Digital Assistant,Personal,,0,55000.000,55000.000,
MEM-067-25,Congressman Jonathan L. Jackson,118,ST-01,,,Legislative,District Director,Personal,,0,,,
MEM-064-25,"House Committee on Energy and Commerce, Subcommittee on Oversight and Investigations (Democratic StaE)",118,ST-25,,,Legislative,Oversight and Investigations Law Clerk,Personal,"House Committee on Energy and Commerce, Subcommittee on Oversight and Investigations",0,,,
MEM-063-25,"Congresswoman Maxine Dexter, M.D.",118,ST-03,,,Legislative,Digital/Press Assistant,Personal,,0,60000.000,70000.000,
MEM-054-25,Congresswoman Melanie Stansbury,118,ST-01,-0.456,0.273,Communications,Communications Advisor,Personal,DOGE Subcommittee of the House Oversight Committee,0,,,
MEM-053-25,House Committee on Financial Services,118,ST-25,,,Legislative,Counsel to the Subcommittee on Capital Markets of the House Committee on Financial Services,Personal,House Committee on Financial Services,0,,,5
MEM-051-25,Greg Landsman (OH-01),118,ST-01,-0.217,0.373,Communications,DISTRICT STAFF ASSISTANT - Communications and Office Logistics,Personal,,0,45000.000,55000.000,
MEM-047-25,Congressman Brad Sherman,118,ST-32,-0.343,0.822,Legislative,Caseworker,Personal,,0,45000.000,,
MEM-046-25,House Committee on Homeland Security Republican StaE,118,ST-25,,,Legislative,Counsel (JD required) or Professional Sta_ Member,Committee,House Committee on Homeland Security Republican StaE,0,,,2
MEM-042-25,Congressman Gabe Vasquez,118,ST-02,-0.308,0.399,Legislative,Scheduler,Personal,,1,,,
MEM-040-25,Congressman Rob Wittman,118,ST-01,,,Legislative,Legislative Director,Personal,Natural Resources Committee,0,,,5
MEM-034-25,House Committee on Veterans’ Affairs (Majority),118,ST-25,,,Legislative,Contracts Investigator,Personal,House Committee on Veterans’ Affairs (Majority),0,,,
MEM-530-24,"Majority StaE Director, Subcommittee on Disability Assistance and Memorial AEairs",118,ST-24,,,Legislative,Research Assistant,Personal,House Committee on Veterans’ AEairs,0,,,
MEM-517-24,Congresswoman Susie Lee,118,ST-24,-0.232,1.159,Legislative,DC Scheduler,Personal,,0,,,
MEM-102-25,House Committee on Natural Resources – Democratic,118,ST-02,,,Legislative,Professional Staff Member for Federal Lands,Personal,House Committee on Natural Resources,0,,,
MEM-101-25,House Committee on Natural Resources – Democratic,118,ST-25,,,Legislative,Staff Assistant,Personal,House Committee on Natural Resources,0,,,
MEM-100-25,Rep. Tony Gonzales,118,ST-23,0.340,1.652,Legislative,Military Legislative Assistant,Personal,,0,,,1
MEM-095-25,Congressman Gabe Amo,118,RI-01,-0.530,0.019,Communications,Communications Director,Personal,,0,,,
MEM-094-25,Rep. Vern Buchanan (FL-16),118,ST-16,0.362,0.563,Communications,Press Secretary/ Press Assistant,Personal,,0,,,
MEM-088-25,Senior Auditor Information Systems,118,ST-25,,,Legislative,Senior Auditor Information Systems,Personal,,0,,,5
MEM-087-25,Congresswoman Dina Titus,118,ST-01,-0.298,1.632,Legislative,Digital Manager/Press Assistant,Personal,,0,65000.000,75000.000,2
MEM-082-25,Greg Steube,118,ST-17,0.690,2.706,Legislative,Field Representative,Personal,,0,55000.000,75000.000,2
MEM-080-25,Texas House Member,118,ST-25,,,Legislative,Member Seeks Legislative Correspondent,Personal,,0,,,
MEM-076-25,Congressman Mike Flood,118,ST-01,0.461,0.817,Legislative,Special Assistant,Personal,,0,,,
MEM-074-25,Congressman Jonathan L. Jackson,118,ST-25,,,Legislative,Press/Digital Assistant,Personal,,0,,,
MEM-072-25,Congressman Rob Wittman,118,VA-01,,,Communications,Press Assistant,Personal,,0,,,
MEM-071-25,Congresswoman Kristen McDonald Rivet (MI-08),118,ST-08,,,Legislative,Press/Digital Assistant,Personal,,0,55000.000,55000.000,
MEM-064-25,"House Committee on Energy and Commerce, Subcommittee on Oversight and Investigations (Democratic Sta.)",118,ST-25,,,Legislative,Oversight and Investigations Law Clerk,Personal,"House Committee on Energy and Commerce, Subcommittee on Oversight and Investigations",0,,,
MEM-063-25,"Congresswoman Maxine Dexter, M.D.",118,ST-03,,,Legislative,Digital/Press Assistant,Personal,,0,60000.000,70000.000,
MEM-523-24,Brendan F. Boyle (PA-02),118,ST-02,,,Legislative,Digital Assistant,Personal,House Budget Committee,0,,,1
MEM-517-24,Congresswoman Susie Lee,118,ST-24,-0.232,1.159,Legislative,DC Scheduler,Personal,,0,,,
MEM-108-25,"Republican member in Charleston, SC",118,ST-25,,,Digital Assistant,Digital Assistant,Personal,,0,,,
MEM-107-25,Rep. Nanette Barragán (CA-44),118,ST-44,,,Legislative,Scheduler|Executive Assistant,Personal,,1,55000.000,80000.000,
MEM-106-25,Congressman Ted W. Lieu,118,ST-36,,,Legislative,Field Representative and Constituent Services Representative,Personal,,1,,,
MEM-105-25,Omar S. Ashmawy Sta9 Director and Chief Counsel,118,ST-25,,,Legislative,Investigative Support Analyst,Personal,,0,,,2
MEM-104-25,House Committee on Veterans’ A9airs Majority,118,ST-25,,,Legislative,Healthcare Investigator,Personal,House Committee on Veterans’ A9airs Majority,0,,,
MEM-103-25,Congressman Vern Buchanan (FL-16),118,ST-16,0.362,0.563,Legislative,Health Policy Advisor/ Counsel,Personal,,0,,,
MEM-102-25,House Committee on Natural Resources – Democratic StaX,118,ST-02,,,Legislative,Professional Staff Member for Federal Lands,Personal,House Committee on Natural Resources,0,,,
MEM-101-25,House Committee on Natural Resources – Democratic StaX,118,ST-25,,,Legislative,Staff Assistant,Personal,House Committee on Natural Resources,1,,,
MEM-100-25,Rep. Tony Gonzales,118,ST-23,0.340,1.652,Legislative,Military Legislative Assistant,Personal,,0,,,1
MEM-095-25,Congressman Gabe Amo,118,RI-01,-0.530,0.019,Communications,Communications Director,Personal,,0,,,
MEM-094-25,Rep. Vern Buchanan (FL-16),118,ST-16,0.362,0.563,Communications,Press Secretary/ Press Assistant,Personal,,0,,,
MEM-088-25,Senior Auditor Information Systems,118,ST-25,,,Legislative,Senior Auditor Information Systems,Personal,,0,,,5
MEM-082-25,Greg Steube,118,ST-17,0.690,2.706,Legislative,Field Representative,Personal,,0,55000.000,75000.000,2
MEM-080-25,Texas House Member,118,ST-25,,,Legislative,Member Seeks Legislative Correspondent,Personal,,0,,,
MEM-076-25,Congressman Mike Flood,118,ST-01,0.461,0.817,Legislative,Special Assistant,Personal,,0,,,
MEM-074-25,Congressman Jonathan L. Jackson,118,ST-25,,,Legislative,Press/Digital Assistant,Personal,,0,,,
MEM-072-25,Congressman Rob Wittman,118,VA-01,,,Communications,Press Assistant,Personal,,0,,,
MEM-071-25,Congresswoman Kristen McDonald Rivet (MI-08),118,ST-08,,,Legislative,Press/Digital Assistant,Personal,,0,55000.000,55000.000,
MEM-063-25,"Congresswoman Maxine Dexter, M.D.",118,ST-03,,,Legislative,Digital/Press Assistant,Personal,,0,60000.000,70000.000,
MEM-523-24,Brendan F. Boyle (PA-02),118,ST-02,,,Legislative,Digital Assistant,Personal,House Budget Committee,0,,,1
MEM-517-24,Congresswoman Susie Lee,118,ST-24,-0.232,1.159,Legislative,DC Scheduler,Personal,,0,,,
MEM-121-25,The bipartisan Problem Solvers Caucus,118,ST-25,,,Legislative,Communications Director,Personal,,0,,,
MEM-127-25,Pennsylvania Republican,118,ST-25,,,Communications,Press Secretary/Digital Director,Personal,,0,,,
MEM-126-25,"Congresswoman Alma S. Adams, Ph.D.",118,ST-25,,,Legislative,Legislative Director,Personal,Agriculture Committee,1,,,
MEM-125-25,Congresswoman Andrea Salinas,118,ST-25,-0.207,1.025,Communications,Press Assistant/Deputy Press Secretary,Personal,,1,55000.000,60000.000,
MEM-124-25,Congresswoman Kim Schrier,118,ST-08,-0.283,0.392,Legislative,District Director,Personal,,0,90000.000,110000.000,5
MEM-123-25,Congressman Dan Goldman,118,ST-25,,,Legislative,Caseworker / Field Representative,Personal,,1,60000.000,60000.000,1
MEM-122-25,Representative Maxwell Frost,118,ST-25,-0.423,0.282,Communications,Creative Director,Personal,Democratic Policy and Communications Committee,0,70000.000,90000.000,2
MEM-121-25,The bipartisan Problem Solvers Caucus,118,ST-25,,,Legislative,Communications Director,Personal,,0,,,
MEM-119-25,Congresswoman Luz Rivas,118,ST-29,,,Legislative,Press/Digital Assistant,Personal,,1,,,
MEM-118-25,Rep. Kevin Mullin (CA-15),118,ST-15,-0.470,0.052,Legislative,Legislative Assistant,Personal,House Energy & Commerce Committee,1,,,2
MEM-117-25,Committee on Ethics,118,ST-25,,,Legislative,Staff Assistant,Personal,null,0,5203.000,5203.000,
MEM-116-25,Congresswoman Rashida Tlaib,118,ST-12,-0.290,0.182,Legislative,Legislative Director,Personal,,0,100000.000,,
MEM-115-25,U.S. HOUSE OF REPRESENTATIVES COMMITTEE ON ETHICS,118,ST-25,,,Legislative,Director of Administration,Committee,Committee on Ethics,0,132638.000,140667.000,5
MEM-113-25,U.S. House Committee on Foreign Affairs Majority,118,ST-25,,,Legislative,Export Controls Professional,Committee,House Committee on Foreign Affairs Majority,0,,,
MEM-112-25,Congressman Ro Khanna,118,ST-25,-0.463,1.107,Legislative,Scheduler & Operations Coordinator,Personal,,0,71000.000,71000.000,
MEM-111-25,Rep. Dina Titus,118,ST-25,-0.298,1.632,Legislative,District Office Staff Assistant,Personal,,1,,,
MEM-110-25,Congresswoman Pramila Jayapal (WA-07),118,ST-07,-0.627,0.242,Legislative,Senior Legislative Assistant,Personal,,0,70000.000,85000.000,4
MEM-108-25,"Republican member in Charleston, SC",118,ST-25,,,Legislative,Digital Assistant,Personal,,0,,,
MEM-107-25,Rep. Nanette Barragán (CA-44),118,ST-44,,,Legislative,Scheduler|Executive Assistant,Personal,,1,55000.000,80000.000,
MEM-105-25,Office of Congressional Conduct,118,ST-25,,,Legislative,Investigative Support Analyst,Personal,,0,,,2
MEM-104-25,House Committee on Veterans’ Affairs (Majority),118,ST-25,,,Legislative,Healthcare Investigator,Personal,Veterans’ Affairs Majority staff,0,,,
MEM-103-25,Congressman Vern Buchanan (FL-16),118,ST-16,0.362,0.563,Legislative,Health Policy Advisor/ Counsel,Personal,Ways and Means Health Chair,0,,,
MEM-100-25,Rep. Tony Gonzales,118,ST-23,0.340,1.652,Legislative,Military Legislative Assistant,Personal,,0,,,1
MEM-095-25,Congressman Gabe Amo,118,RI-01,-0.530,0.019,Communications,Communications Director,Personal,,0,,,
MEM-082-25,Greg Steube,118,ST-17,0.690,2.706,Legislative,Field Representative,Personal,,0,55000.000,75000.000,2
MEM-523-24,Brendan F. Boyle (PA-02),118,ST-02,,,Legislative,Digital Assistant,Personal,House Budget Committee,0,,,1
MEM-132-25,Emanuel Cleaver,118,ST-25,-0.453,0.327,Legislative,Legislative Correspondent/Staff Assistant,Personal,,0,55000.000,57000.000,
MEM-131-25,Congressman Jimmy Panetta,118,ST-19,-0.289,0.614,Legislative,Scheduler/Director of Operations,Personal,,0,,,
MEM-130-25,Inspector General Office: Office of the Inspector General,118,ST-25,,,Legislative,Inspector General,Personal,,0,212000.000,217000.000,
MEM-129-25,Rep. Lauren Underwood (D-IL),118,ST-25,-0.602,0.476,Legislative,LEGISLATIVE DIRECTOR,Personal,,0,100000.000,110000.000,1
MEM-128-25,Congresswoman Janelle Bynum,118,ST-25,,,Legislative,Field Representative,Personal,,0,,,
MEM-121-25,The bipartisan Problem Solvers Caucus,118,ST-25,,,Legislative,Communications Director,Personal,Problem Solvers Caucus,0,,,
MEM-127-25,Pennsylvania Republican,118,ST-25,,,Communications,Press Secretary/Digital Director,Personal,,0,,,
MEM-126-25,"Congresswoman Alma S. Adams, Ph.D.",118,ST-25,,,Legislative,Legislative Director,Personal,Agriculture Committee,1,,,
MEM-125-25,Congresswoman Andrea Salinas,118,ST-25,-0.207,1.025,Communications,Press Assistant/Deputy Press Secretary,Personal,,1,55000.000,60000.000,
MEM-123-25,Congressman Dan Goldman,118,ST-25,,,Legislative,Caseworker / Field Representative,Personal,,1,60000.000,60000.000,1
MEM-122-25,Representative Maxwell Frost,118,ST-25,-0.423,0.282,Communications,Creative Director,Personal,Democratic Policy and Communications Committee,0,70000.000,90000.000,2
MEM-119-25,Congresswoman Luz Rivas,118,ST-29,,,Legislative,Press/Digital Assistant,Personal,,1,,,
MEM-118-25,Rep. Kevin Mullin (CA-15),118,ST-15,-0.470,0.052,Legislative,Legislative Assistant,Personal,House Energy & Commerce Committee,0,,,2
MEM-117-25,Committee on Ethics,118,ST-25,,,Legislative,Staff Assistant,Personal,null,0,52003.000,,
MEM-115-25,U.S. House of Representatives Committee on Ethics,118,ST-25,,,Legislative,Director of Administration,Committee,Committee on Ethics,0,132638.000,140667.000,5
MEM-113-25,U.S. House Committee on Foreign Affairs Majority,118,ST-25,,,Legislative,Export Controls Professional,Committee,House Committee on Foreign Affairs Majority,0,,,
MEM-112-25,Congressman Ro Khanna's office,118,ST-25,,,Legislative,Scheduler & Operations Coordinator,Personal,,0,71000.000,71000.000,
MEM-111-25,Rep. Dina Titus,118,ST-25,-0.298,1.632,Legislative,District Office Staff Assistant,Personal,,1,,,
MEM-110-25,Congresswoman Pramila Jayapal (WA-07),118,ST-07,-0.627,0.242,Legislative,Senior Legislative Assistant,Personal,,0,70000.000,85000.000,4
MEM-108-25,"Republican member in Charleston, SC",118,ST-25,,,Legislative,Digital Assistant,Personal,,0,,,
MEM-107-25,Rep. Nanette Barragán (CA-44),118,ST-44,,,Legislative,Scheduler|Executive Assistant,Personal,,1,55000.000,80000.000,
MEM-105-25,Office of Congressional Conduct,118,ST-25,,,Legislative,Investigative Support Analyst,Personal,,0,,,2
MEM-104-25,House Committee on Veterans’ Affairs (Majority),118,ST-25,,,Legislative,Healthcare Investigator,Personal,Veterans’ Affairs Majority staff,0,,,
MEM-100-25,Rep. Tony Gonzales,118,ST-23,0.340,1.652,Legislative,Military Legislative Assistant,Personal,,0,,,1
MEM-523-24,Brendan F. Boyle (PA-02),118,ST-02,,,Legislative,Digital Assistant,Personal,House Budget Committee,0,,,1
MEM-137-25,Congresswoman Sarah Elfreth (MD-03),118,ST-03,,,Legislative,Caseworker,Personal,,0,,,
MEM-136-25,Congresswoman Suzanne Bonamici,118,ST-01,-0.397,1.016,Legislative,Immigration Caseworker,Personal,,1,60000.000,68000.000,
MEM-135-25,Sharice Davids,118,ST-03,-0.274,1.026,Legislative,DC-Based Scheduler and Office Manager,Personal,,0,,,
MEM-134-25,House Committee on Energy and Commerce Democratic Staff (minority),118,ST-25,,,Legislative,Staff Assistant,Personal,House Committee on Energy and Commerce,0,,,
MEM-133-25,Congresswoman Rashida Tlaib,118,ST-12,-0.290,0.182,Legislative,DC Staff Assistant,Personal,,0,55000.000,,
MEM-132-25,Emanuel Cleaver,118,ST-25,-0.453,0.327,Legislative,Legislative Correspondent/Staff Assistant,Personal,,0,55000.000,57000.000,
MEM-131-25,Congressman Jimmy Panetta,118,ST-19,-0.289,0.614,Legislative,Scheduler/Director of Operations,Personal,,0,,,
MEM-130-25,Inspector General Office: Office of the Inspector General,118,ST-25,,,Legislative,Inspector General,Personal,,0,212000.000,217000.000,
